Country_name_encoded,GDP Data,Year,Country Name,Predicted Enrollment Rates
0,6238.087937546334,2025,Albania,71.33198
1,4779.660657959771,2025,Algeria,65.53964
2,6817.848840008526,2025,Angola,73.29618
3,3513.2732484853336,2025,Anguilla,59.38466
4,4682.722788379446,2025,Antigua and Barbuda,64.790436
5,4887.38737308255,2025,Argentina,65.386284
6,1490.7820103774804,2025,Armenia,29.903215
7,7479.3068127582155,2025,Australia,75.3701
8,3488.917732373672,2025,Austria,57.83349
9,3821.816527039217,2025,Azerbaijan,59.452797
10,7716.9007974522965,2025,Bahamas,76.00087
11,5793.68887284627,2025,Bangladesh,67.541374
12,7307.638532182424,2025,Barbados,73.91624
13,9199.201415595322,2025,Belarus,81.4264
14,4816.473704857919,2025,Belgium,62.30542
15,9911.200901019276,2025,Belize,83.97947
16,3340.5298132238927,2025,Benin,53.71965
17,7811.067130537488,2025,Bermuda,74.60061
18,9051.659490612185,2025,Bhutan,79.77317
19,1321.943702104308,2025,Bolivia,20.197596
20,7204.947519633413,2025,Bosnia and Herzegovina,71.02898
21,9298.544222620381,2025,Botswana,79.972206
22,911.718222813136,2025,Brazil,12.067301
23,5019.859990784149,2025,British Virgin Islands,60.49449
24,5942.988567863425,2025,Brunei,64.27184
25,7048.620437505345,2025,Bulgaria,68.85469
26,1090.204340930786,2025,Burkina Faso,13.400251
27,5345.580374101022,2025,Burundi,60.744583
28,5894.092967849639,2025,Cambodia,62.86857
29,8017.477391637795,2025,Cameroon,71.94326
30,9660.93704634378,2025,Canada,78.8998
31,9621.71184161348,2025,Cape Verde,78.42983
32,1067.9870612867915,2025,Cayman Islands,17.01702
33,4241.347924302904,2025,Central African Republic,48.69362
34,3201.2175901592786,2025,Chad,40.031868
35,5937.086249272184,2025,Chile,60.221428
36,3499.23200955495,2025,China,41.807507
37,5006.15895581847,2025,Colombia,52.521965
38,1658.5284014609813,2025,Comoros,28.087608
39,9760.46477289195,2025,Congo,78.3954
40,8417.079118984146,2025,Costa Rica,72.33928
41,474.2878342943724,2025,Cote d'Ivoire,19.32998
42,8661.192683004558,2025,Croatia,73.34589
43,6936.977991115559,2025,Cyprus,64.30277
44,6201.28319310067,2025,Czechia,58.457653
45,272.05481615119595,2025,Democratic Republic of Congo,21.255198
46,9483.270259057053,2025,Denmark,76.85345
47,240.69082371456994,2025,Djibouti,22.728804
48,7798.247135956258,2025,Dominica,68.598724
49,6317.896851796011,2025,Dominican Republic,57.40154
50,1409.1773008255138,2025,Ecuador,34.821445
51,5635.610553249325,2025,Egypt,53.759155
52,525.2114426836996,2025,El Salvador,22.271807
53,8694.817455564307,2025,Estonia,73.02308
54,3568.208888781016,2025,Eswatini,46.80259
55,366.1707466364716,2025,Ethiopia,16.54464
56,2439.817954758384,2025,Fiji,37.217384
57,4362.75087241651,2025,Finland,49.28661
58,8014.20237079696,2025,France,67.541016
59,6247.027667364384,2025,Gabon,58.01181
60,4808.8808102659505,2025,Gambia,49.934322
61,4829.915645676185,2025,Georgia,49.477318
62,5842.653361983962,2025,Germany,54.247074
63,5384.473274786421,2025,Ghana,51.26439
64,989.9377117684749,2025,Greece,14.157398
65,1793.007812721934,2025,Grenada,23.752785
66,2071.9396899409016,2025,Guatemala,26.315466
67,5132.298027787902,2025,Guinea,50.1735
68,3450.86158674102,2025,Guinea-Bissau,37.07389
69,7171.374447801582,2025,Guyana,67.87994
70,2377.0376030478633,2025,Haiti,29.435694
71,9672.961353105677,2025,Honduras,82.19417
72,8559.47313318693,2025,Hong Kong,78.863655
73,156.53659501050132,2025,Hungary,-1.3661933
74,2623.1093723510135,2025,Iceland,37.38644
75,8611.440774133456,2025,India,78.72667
76,793.0695521986053,2025,Indonesia,11.503391
77,592.3814713623998,2025,Iran,9.455112
78,6095.615826244845,2025,Iraq,73.4824
79,8379.092491730258,2025,Ireland,77.47195
80,4570.414350128488,2025,Israel,64.62634
81,4299.328527910227,2025,Italy,63.386654
82,7733.9814576985245,2025,Jamaica,75.989815
83,3305.643236528063,2025,Japan,56.526085
84,9358.211661684765,2025,Jordan,77.48415
85,1082.7653675730442,2025,Kazakhstan,25.244078
