Unnamed: 0,Country Name,Country Code_x,Country Code_y,ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Afghanistan,,,1.5,,,,,,,,,,,85.8,34.83333333333333,37.04166666666667,38.04166666666667,39.04166666666667,258.75,116.16666666666666,2.5,37.981197624186045,18.0,146.46974182,48.10424461999999,48.78089932000001,48.89919507,49.71409867999997,37.74031352749999,37.86006832,72.44228364,72.56599044999999,72.43971253,72.72700501,72.00089263000001,71.80327224999999,71.86693191,71.86171341000001,72.84165955,73.03482819,73.51657868000001,72.57085037,73.44160842,77.96281815,77.75125886,78.40693284,78.80559539000001,77.9256401,76.72694397000001,72.13493729000001,75.98045730999999,76.00452042,77.26742935,78.20291519,31.0,84.52262496999998,85.33996965,85.9294777,33.7538407,86.74456405000001,85.58776855,83.24345017000002,85.76365279999999,86.0082779,37.0,85.67226791,86.0446663
1,Africa Eastern and Southern,,,2.0,,,,,,,,,,,86.4,35.666666666666664,37.833333333333336,38.833333333333336,39.833333333333336,252.0,114.33333333333333,4.0,38.83060898976744,20.895946884,136.57579345599999,48.10424419999999,48.78090120000001,48.8991937,49.714098799999974,39.017482278749995,39.20544958000001,56.86621094,57.26845932,57.61875153,58.14876175,58.18180084,58.46995163,58.91260147,59.34590149,59.92193985,60.44985962,61.19145966,61.40491104,62.26570892,62.77009964,63.25819016,63.95227051,64.44235229,64.67675018,64.13368225,62.17927933,63.13407898,63.36717987,64.0625,64.80999756,66.87127686,68.54786682,69.38085938,70.03530884,70.44709015,71.1051712,71.02998352,71.49539948,72.65866089,72.85575867,72.63890839,72.98155975,73.27510834
2,Africa Western and Central,,,2.0,,,,,,,,,,,87.0,36.5,38.625,39.625,40.625,245.25,112.5,5.5,39.68002035534884,23.791893768,126.681845092,48.10424377999999,48.78090308000001,48.89919233,49.71409891999998,40.29465103,40.55083084,41.29013824,41.97092819,42.79779053,43.57051849,44.36270905,45.13663101,45.95827103,46.83008957,47.00222015,47.86489105,48.86634064,50.23897171,51.08980942,47.57738113,48.76512146,49.49760818,50.07910919,51.42786026,51.54042053,52.22362137,50.28770065,50.72983932,50.85757065,51.41707993,52.02648926,52.57310867,53.42174911,54.14113998,55.0066185,55.46577835,56.47219849,59.74734879,59.55366898,59.70323944,60.0073204,60.29085159,60.50555038
3,Albania,,,1.5,,,,,,,,,,,87.6,37.33333333333333,39.41666666666667,40.41666666666667,41.41666666666667,238.5,110.66666666666666,7.0,40.52943172093023,26.687840652,116.78789672799999,48.10424335999999,48.78090496000001,48.89919096,49.71409903999998,41.57181978125,41.8962121,45.64506912,43.347028253750004,44.17993307375,44.973674771249996,45.79283905375,46.605823515000004,47.423085692499996,48.3041219725,48.577728745,49.47470474,50.48989200875,51.8404026025,52.719160558750005,49.826302025,99.0,59.74880409,52.571600912499996,53.85802412,54.02334880625,62.611810684999995,52.75731897125,96.0,53.21861887125,54.22771359625,97.0,97.0,55.9704413375,56.512911984,97.5539,57.74730062375,98.816230385,70.57759362249999,61.460400108749994,61.630517004999994,61.94885205875,98.5,62.46163892375
4,Algeria,,,1.5,,,,,,,,,,,88.2,38.166666666666664,40.208333333333336,41.208333333333336,42.208333333333336,231.75,108.83333333333333,8.5,41.37884308651163,29.583787536,106.893948364,48.10424293999999,48.78090684000001,48.89918959,49.71409915999998,42.8489885325,43.24159336,50.0,44.7231283175,45.5620756175,46.376831052499995,47.2229690575,48.07501602,48.887900355,49.778154375,50.153237340000004,51.084518429999996,52.1134433775,53.441833495,54.3485116975,52.07522292,91.0,70.0,55.064092634999994,56.288187980000004,56.5062770825,73.0,55.2269372925,75.0,55.5796670925,57.0383472625,93.45765577,93.58119528571429,58.519133565,58.884683988,79.6084,60.0288228975,95.30137056,81.40783845499999,63.3671312375,63.55779457,63.8903837175,91.97500019125,64.4177274675
5,American Samoa,,,1.5,,,,,,,,,,,88.8,39.0,41.0,42.0,43.0,225.0,107.0,10.0,42.228254452093026,32.47973442,97.0,48.10424251999999,48.780908720000006,48.89918822,49.714099279999985,44.12615728375,44.58697462000001,50.34953816666667,46.09922838125,46.94421816125,47.77998733375,48.65309906125,49.544208525,50.3527150175,51.2521867775,51.728745935,52.69433212,53.73699474625,55.0432643875,55.977862836250004,54.324143815,83.0,69.54910532666666,57.5565843575,58.718351840000004,58.98920535875,72.36583328166667,57.69655561375,74.33502960166666,57.94071531375,59.84898092875,89.91531154,90.16239057142857,61.067825792499995,61.256455992,75.15088712166667,62.31034517125,91.786510735,80.2655525325,65.27386236625,65.485072135,65.83191537625,85.45000038250001,66.37381601125
6,Andorra,,,1.5,,,,,,,,,,,89.4,39.83333333333333,41.79166666666667,42.79166666666667,43.79166666666667,218.25,105.16666666666666,11.5,43.077665817674415,35.375681304,87.106051636,48.10424209999999,48.780910600000006,48.89918685,49.71409939999999,45.403326035,45.93235588,50.69907633333333,47.475328445,48.326360705,49.183143615,50.083229065,51.01340103,51.81752968,52.72621918,53.30425453,54.304145809999994,55.360546115,56.64469528,57.60721397500001,56.57306471,75.0,69.09821065333334,60.04907608,61.148515700000004,61.472133635000006,71.73166656333333,60.166173935,73.67005920333334,60.301763535,62.659614595,86.37296731,86.74358585714285,63.61651802,63.628227996,70.69337424333334,64.591867445,88.27165091,79.12326660999999,67.180593495,67.4123497,67.773447035,78.92500057375,68.329904555
7,Angola,,,1.5,,,,,,,,,,,90.0,40.666666666666664,42.583333333333336,43.583333333333336,44.583333333333336,211.5,103.33333333333333,13.0,43.92707718325581,38.271628187999994,77.21210327200001,48.104241679999994,48.780912480000005,48.89918548,49.71409951999999,46.68049478625,47.27773714,51.0486145,48.851428508750004,49.70850324875,50.58629989625,51.51335906875,52.482593535,53.2823443425,54.200251582499995,54.879763125000004,55.9139595,56.98409748375,58.2461261725,59.236565113750004,58.821985605,67.0,68.64731598,62.5415678025,63.578679560000005,63.95506191125,71.097499845,62.63579225625,73.005088805,62.66281175625,65.47024826125,82.83062308,83.32478114285713,66.1652102475,66.0,66.235861365,66.87338971875,84.756791085,77.9809806875,69.08732462374999,69.33962726499999,69.71497869375,72.400000765,70.28599309875
8,Anguilla,,,1.0,,,,,,,,,,,90.6,41.5,43.375,44.375,45.375,204.75,101.5,14.5,44.77648854883721,41.167575072,67.318154908,48.104241259999995,48.780914360000004,48.89918411,49.71409963999999,47.9576635375,48.6231184,51.39815266666667,50.227528572500006,51.0906457925,51.9894561775,52.9434890725,53.95178604,54.747159005,55.674283984999995,56.45527172,57.52377319,58.6076488525,59.847557065000004,60.86591625250001,61.0709065,83.0,68.19642130666666,65.034059525,66.00884342,66.4379901875,70.46333312666667,65.1054105775,72.34011840666666,65.0238599775,68.2808819275,79.28827885,79.90597642857142,68.713902475,82.475,69.16408702,69.1549119925,81.24193126,76.838694765,70.9940557525,71.26690483,71.65651035249999,73.53948669666667,72.2420816425
9,Antigua and Barbuda,,,1.5,,,,,,,,,,,91.2,42.33333333333333,44.16666666666667,45.16666666666667,46.16666666666667,198.0,99.66666666666666,16.0,45.6258999144186,44.063521956,57.424206544,48.104240839999996,48.78091624,48.89918274,49.714099759999996,49.23483228875,49.968499660000006,51.74769083333333,51.60362863625,52.47278833625,53.39261245875,54.37361907625,55.420978545,56.211973667500004,57.148316387499996,58.030780315,59.133586879999996,60.23120022125,61.4489879575,62.49526739125001,63.319827395000004,99.0,67.74552663333334,67.52655124750001,68.43900728,68.92091846375001,69.82916640833334,67.57502889875,71.67514800833334,67.38490819875,71.09151559375,75.74593462,76.48717171428571,71.2625947025,98.95,72.092312675,71.43643426625,77.727071435,75.69640884249999,72.90078688125,73.194182395,73.59804201125,74.67897262833333,74.19817018625
